terrain type,non-motorized,motorized,breakdown,barrage,anti armor,close assault,stacking limit^1
clear,2,2,4,NA,NA,NA,6
gravel,2,2,6,NA,NA,NA,6
salt marsh^2,3,2,6,NA,NA,R1,6
heavy vegetation,3,3,3,NA,L1,L1,6
rough,3,4,8,L1,L1,L2,6
mountain,4,6,12,L2,L2,L3,3
delta,2,4,2,NA,NA,NA,6
desert,3,4^3,24,NA,NA,NA,6
major city,1,0.5,0.5,NA,NA,NA,6
swamp^4,only,only,only,NA,NA,NA,6
village/bir/oasis,same,same,same,same,same,same,same							
railroad^5,same,same,same,same,same,same,same							
road,1^6,0.5^6,0.5^6,NA,NA,NA,5^7
track,1^8,1^8,fn^8,NA,NA,NA,5
ridge,2,4,2,NA,L2,L2,NA	
up slope,2,4,2,NA,L1,L2,NA	
down slope,1,2,2,NA,L1,R1,NA	
up escarpment,6,P,NA,NA,P,L3,NA	
down escarpment,4,8^9,6,NA,L2,R1,NA	
wadi,1^10,4^10,8,NA,NA,L1,NA	
major river,3,P^11,NA,NA,NA,L6,NA	
minor river,3,6,1,NA,NA,L2,NA	
fort level one,same,same,same,L1^12,L1,L2,NA	
fort level two,same,same,same,L2^12,L2,L3,NA	
fort level three,same,same,same,L2^12,L2,L4,NA	
friendly minefield^13,1,4,0,NA,L1,L1,NA	
enemy minefield^13,4,CPA,2,NA,NA,NA,NA				
